SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
4.7,2.67,5.97,1.88,Iris-versicolor
5.12,4.29,5.95,1.48,Iris-virginica
5.84,3.77,3.77,2.12,Iris-setosa
7.24,3.33,3.45,0.44,Iris-setosa
7.4,3.47,2.61,2.01,Iris-setosa
4.33,3.01,1.33,0.58,Iris-virginica
6.14,2.59,6.1,0.49,Iris-virginica
5.8,2.85,5.8,0.49,Iris-virginica
5.1,3.82,6.9,2.05,Iris-virginica
4.73,2.03,6.88,1.7,Iris-virginica
5.52,2.28,4.28,1.36,Iris-setosa
7.69,2.11,5.54,0.96,Iris-versicolor
5.46,2.1,6.57,2.21,Iris-setosa
6.17,4.05,6.01,1.04,Iris-virginica
6.83,3.69,2.46,2.06,Iris-setosa
5.61,3.14,3.66,1.15,Iris-virginica
7.8,2.23,1.76,1.0,Iris-virginica
7.76,3.18,6.63,1.21,Iris-setosa
5.21,3.14,4.58,0.82,Iris-virginica
6.09,2.42,2.35,1.89,Iris-versicolor
5.38,3.04,4.96,1.31,Iris-virginica
5.33,2.96,4.65,0.66,Iris-versicolor
4.43,3.48,3.11,2.26,Iris-versicolor
6.49,3.52,1.67,1.02,Iris-virginica
6.11,2.11,4.96,1.4,Iris-setosa
4.49,2.9,4.07,2.28,Iris-versicolor
5.3,3.5,5.56,1.6,Iris-setosa
7.57,3.21,4.07,0.38,Iris-versicolor
5.16,4.06,6.03,2.36,Iris-virginica
4.82,3.58,4.26,1.61,Iris-virginica
6.06,2.39,4.31,0.9,Iris-versicolor
7.85,2.17,6.17,0.43,Iris-virginica
5.17,3.54,3.38,2.01,Iris-versicolor
6.72,2.06,1.79,1.59,Iris-virginica
7.04,3.41,1.17,1.38,Iris-setosa
5.16,4.26,5.46,2.25,Iris-virginica
6.92,3.38,4.66,1.99,Iris-setosa
5.62,2.93,5.15,0.46,Iris-virginica
6.58,3.54,2.26,0.85,Iris-setosa
6.58,3.1,1.8,0.7,Iris-virginica
6.23,3.31,1.09,1.89,Iris-setosa
4.63,4.26,3.07,0.18,Iris-versicolor
7.31,2.93,4.48,1.47,Iris-versicolor
5.45,4.31,3.31,1.93,Iris-setosa
4.97,4.17,3.58,2.2,Iris-virginica
4.45,2.47,6.33,0.92,Iris-setosa
6.43,2.17,3.05,2.07,Iris-virginica
6.74,2.24,4.03,0.37,Iris-versicolor
4.36,2.04,5.62,2.13,Iris-virginica
6.14,2.23,3.34,0.41,Iris-versicolor
5.12,3.64,4.67,1.05,Iris-virginica
6.62,2.17,6.09,2.01,Iris-virginica
4.93,2.77,6.6,0.46,Iris-virginica
6.79,4.03,1.87,0.65,Iris-setosa
5.69,2.06,6.47,1.83,Iris-setosa
7.67,3.95,3.9,1.83,Iris-versicolor
4.8,2.68,2.52,1.64,Iris-versicolor
5.53,2.28,3.71,1.77,Iris-setosa
4.71,3.67,6.78,1.4,Iris-versicolor
7.63,3.51,3.91,0.7,Iris-setosa
7.46,4.11,2.94,0.93,Iris-virginica
5.23,3.76,4.74,0.54,Iris-versicolor
6.68,3.93,2.42,2.28,Iris-versicolor
7.24,2.68,1.45,1.5,Iris-setosa
6.3,2.43,1.76,1.06,Iris-versicolor
6.21,3.8,1.76,1.21,Iris-versicolor
5.17,3.94,1.9,2.37,Iris-virginica
4.64,4.38,1.82,0.47,Iris-versicolor
7.53,2.99,4.78,1.51,Iris-virginica
7.54,2.89,2.07,1.31,Iris-setosa
6.58,3.86,3.04,1.57,Iris-versicolor
5.52,2.82,6.29,0.14,Iris-virginica
5.56,4.23,3.8,2.19,Iris-setosa
6.91,4.06,4.94,2.34,Iris-versicolor
7.53,3.03,2.02,1.46,Iris-setosa
7.49,3.8,2.13,1.77,Iris-versicolor
7.11,3.81,1.24,2.31,Iris-setosa
